epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,,,9,,,,0.50954669713974,,
,,,0,,,,,,0.32306379079818726
,,,1,,,,,,0.3263514041900635
,,,2,,,,,,0.3385450541973114
,,,3,,,,,,0.5506417751312256
,,,4,,,,,,0.8721468448638916
,,,5,,,,,,0.8716576099395752
,,,6,,,,,,0.8646624088287354
0,0.35384616255760193,0.2738095223903656,13,,,,,0.5742901563644409,
0,,,13,,,0.5723839402198792,,,
1,,,19,,,,0.5411562919616699,,
,,,7,,,,,,0.32448679208755493
,,,8,,,,,,0.3275514841079712
,,,9,,,,,,0.34010961651802063
,,,10,,,,,,0.5325545072555542
,,,11,,,,,,0.8333321809768677
,,,12,,,,,,0.8344778418540955
,,,13,,,,,,0.8247892260551453
1,0.5837404727935791,0.8091397881507874,27,,,,,0.5571743249893188,
1,,,27,,,0.5286291241645813,,,
2,,,29,,,,0.44949400424957275,,
2,,,39,,,,0.4856089949607849,,
,,,14,,,,,,0.33836275339126587
,,,15,,,,,,0.34248149394989014
,,,16,,,,,,0.368411123752594
,,,17,,,,,,0.5097917318344116
,,,18,,,,,,0.7544949054718018
,,,19,,,,,,0.7483907341957092
,,,20,,,,,,0.7385523319244385
2,0.7569444179534912,0.8571428656578064,41,,,,,0.5298846960067749,
2,,,41,,,0.5022478103637695,,,
3,,,49,,,,0.47637197375297546,,
,,,21,,,,,,0.3428308963775635
,,,22,,,,,,0.3488757014274597
,,,23,,,,,,0.3805563747882843
,,,24,,,,,,0.4871692359447479
,,,25,,,,,,0.6773139834403992
,,,26,,,,,,0.6733542084693909
,,,27,,,,,,0.6620021462440491
3,0.8539533615112305,0.8993055820465088,55,,,,,0.5001869201660156,
3,,,55,,,0.4851650893688202,,,
4,,,59,,,,0.41873323917388916,,
4,,,69,,,,0.40703827142715454,,
,,,28,,,,,,0.33093658089637756
,,,29,,,,,,0.33451130986213684
,,,30,,,,,,0.3615075349807739
,,,31,,,,,,0.4601944088935852
,,,32,,,,,,0.6401119828224182
,,,33,,,,,,0.6373506784439087
,,,34,,,,,,0.6286570429801941
4,0.8752228021621704,0.9107142686843872,69,,,,,0.4751591384410858,
4,,,69,,,0.4520392417907715,,,
5,,,79,,,,0.4012707769870758,,
,,,35,,,,,,0.3400719463825226
